	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18905||bifunctional	RelA/SpoT family protein	2184	20	0.0	93.33	5	F:GO:0008728; F:GO:0008893; P:GO:0015969; F:GO:0016301; P:GO:0016310	F:GTP diphosphokinase activity; F:guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity; P:guanosine tetraphosphate metabolic process; F:kinase activity; P:phosphorylation	EC:2.7.6.5; EC:3.1.7.2	GTP diphosphokinase; Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	IPR003607 (SMART); IPR007685 (SMART); IPR012675 (G3DSA:3.10.20.GENE3D); G3DSA:1.10.3210.10 (GENE3D); IPR002912 (PFAM); IPR007685 (PFAM); PF13328 (PFAM); IPR004811 (TIGRFAM); G3DSA:3.30.460.10 (GENE3D); IPR004095 (PFAM); G3DSA:3.30.70.260 (GENE3D); PTHR21262 (PANTHER); PTHR21262:SF0 (PANTHER); IPR002912 (PROSITE_PROFILES); IPR003607 (PROSITE_PROFILES); PS51880 (PROSITE_PROFILES); cd04876 (CDD); IPR033655 (CDD); IPR003607 (CDD); IPR007685 (CDD); SSF55021 (SUPERFAMILY); SSF81301 (SUPERFAMILY); IPR012676 (SUPERFAMILY); SSF109604 (SUPERFAMILY)	P:GO:0015969	P:guanosine tetraphosphate metabolic process
true	[INTERPRO, BLASTED]	EQU24_RS18910||RidA	reactive intermediate/imine deaminase	402	20	9.38308E-92	87.64						IPR006056 (TIGRFAM); IPR006175 (PFAM); IPR035959 (G3DSA:3.30.1330.GENE3D); IPR006175 (PANTHER); PTHR11803:SF13 (PANTHER); cd00448 (CDD); IPR035959 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18915|recG|ATP-dependent	ATP-dependent DNA helicase RecG	2082	20	0.0	87.84	6	F:GO:0003676; F:GO:0003678; F:GO:0005524; P:GO:0006281; P:GO:0006310; P:GO:0032508	F:nucleic acid binding; F:DNA helicase activity; F:ATP binding; P:DNA repair; P:DNA recombination; P:DNA duplex unwinding	EC:3.6.1.3; EC:3.6.4.12; EC:3.6.1.15	Adenosinetriphosphatase; DNA helicase; Nucleoside-triphosphate phosphatase	IPR014001 (SMART); IPR001650 (SMART); IPR004609 (TIGRFAM); IPR011545 (PFAM); G3DSA:2.40.50.140 (GENE3D); G3DSA:1.10.150.20 (GENE3D); G3DSA:3.40.50.300 (GENE3D); IPR001650 (PFAM); G3DSA:3.40.50.300 (GENE3D); IPR033454 (PFAM); PTHR14025 (PANTHER); PTHR14025:SF29 (PANTHER); IPR014001 (PROSITE_PROFILES); IPR001650 (PROSITE_PROFILES); cd18811 (CDD); cd04488 (CDD); cd17992 (CDD); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR012340 (SUPERFAMILY)	F:GO:0003676; F:GO:0003678; F:GO:0005524; P:GO:0006281; P:GO:0006310	F:nucleic acid binding; F:DNA helicase activity; F:ATP binding; P:DNA repair; P:DNA recombination
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18920||chorismate	chorismate lyase	564	20	1.85777E-131	82.28	4	C:GO:0005737; P:GO:0006744; F:GO:0008813; P:GO:0042866	C:cytoplasm; P:ubiquinone biosynthetic process; F:chorismate lyase activity; P:pyruvate biosynthetic process	EC:4.1.3.40	Chorismate lyase	IPR028978 (G3DSA:3.40.1410.GENE3D); IPR007440 (PFAM); IPR007440 (PANTHER); IPR007440 (HAMAP); IPR028978 (SUPERFAMILY)	C:GO:0005737; P:GO:0006744; F:GO:0008813	C:cytoplasm; P:ubiquinone biosynthetic process; F:chorismate lyase activity
true	[INTERPRO, NO-BLAST]	EQU24_RS18925||hypothetical	---NA---	444									PS51257 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18930|hemL|glutamate-1-semialdehyde-2_1-aminomutase	glutamate-1-semialdehyde 2,1-aminomutase	1281	20	0.0	91.64	5	C:GO:0005737; P:GO:0006782; F:GO:0008483; F:GO:0030170; F:GO:0042286	C:cytoplasm; P:protoporphyrinogen IX biosynthetic process; F:transaminase activity; F:pyridoxal phosphate binding; F:glutamate-1-semialdehyde 2,1-aminomutase activity	EC:5.4.3.8	Glutamate-1-semialdehyde 2,1-aminomutase	IPR004639 (TIGRFAM); IPR015422 (G3DSA:3.90.1150.GENE3D); IPR015421 (G3DSA:3.40.640.GENE3D); IPR005814 (PFAM); PTHR43713 (PANTHER); IPR004639 (HAMAP); IPR005814 (CDD); IPR015424 (SUPERFAMILY)	F:GO:0003824; F:GO:0008483; F:GO:0030170; P:GO:0033014; F:GO:0042286	F:catalytic activity; F:transaminase activity; F:pyridoxal phosphate binding; P:tetrapyrrole biosynthetic process; F:glutamate-1-semialdehyde 2,1-aminomutase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18935||class	class I SAM-dependent methyltransferase	618	20	6.45936E-136	89.39	2	F:GO:0004608; P:GO:0032259	F:phosphatidylethanolamine N-methyltransferase activity; P:methylation	EC:2.1.1.17	Phosphatidylethanolamine N-methyltransferase	G3DSA:3.40.50.150 (GENE3D); IPR013216 (PFAM); PTHR42912 (PANTHER); cd02440 (CDD); IPR029063 (SUPERFAMILY)	F:GO:0008168	F:methyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18940|hspQ|heat	heat shock protein HspQ	312	20	7.86338E-72	81.27	1	F:GO:0003677	F:DNA binding			IPR011722 (SMART); IPR011722 (PFAM); IPR036623 (G3DSA:2.30.30.GENE3D); IPR011722 (TIGRFAM); PTHR31350 (PANTHER); PTHR31350:SF21 (PANTHER); IPR036623 (SUPERFAMILY)	F:GO:0003677	F:DNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18945|ribA|GTP	GTP cyclohydrolase II	615	20	3.57792E-148	89.28	4	F:GO:0003935; F:GO:0005525; F:GO:0008270; P:GO:0009231	F:GTP cyclohydrolase II activity; F:GTP binding; F:zinc ion binding; P:riboflavin biosynthetic process	EC:3.5.4.25	GTP cyclohydrolase II	IPR036144 (G3DSA:3.40.50.GENE3D); IPR032677 (PFAM); PTHR21327 (PANTHER); IPR000926 (CDD); IPR036144 (SUPERFAMILY)	F:GO:0003935; P:GO:0009231	F:GTP cyclohydrolase II activity; P:riboflavin biosynthetic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18950||amidohydrolase	amidohydrolase	1143	20	0.0	88.4	1	F:GO:0047980	F:hippurate hydrolase activity	EC:3.5.1.32	Hippurate hydrolase	G3DSA:3.30.70.360 (GENE3D); IPR011650 (PFAM); G3DSA:3.40.630.10 (GENE3D); IPR017439 (PIRSF); IPR002933 (PFAM); IPR017439 (TIGRFAM); PTHR11014:SF63 (PANTHER); PTHR11014 (PANTHER); cd05666 (CDD); SSF53187 (SUPERFAMILY); IPR036264 (SUPERFAMILY)	F:GO:0016787	F:hydrolase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18955|lexA|transcriptional	transcriptional repressor LexA	672	20	3.76753E-164	86.39	7	F:GO:0003677; F:GO:0004252; P:GO:0006260; P:GO:0006281; P:GO:0006508; P:GO:0009432; P:GO:0045892	F:DNA binding; F:serine-type endopeptidase activity; P:DNA replication; P:DNA repair; P:proteolysis; P:SOS response; P:negative regulation of transcription, DNA-templated	EC:3.4.21	Acting on peptide bonds (peptidases)	IPR006197 (PRINTS); IPR015927 (PFAM); IPR006199 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); G3DSA:2.10.109.10 (GENE3D); IPR006200 (TIGRFAM); PTHR33516:SF2 (PANTHER); PTHR33516 (PANTHER); IPR006200 (HAMAP); IPR039418 (CDD); IPR036390 (SUPERFAMILY); IPR036286 (SUPERFAMILY)	F:GO:0003677; F:GO:0004252; P:GO:0006355; P:GO:0006508; P:GO:0009432; P:GO:0045892	F:DNA binding; F:serine-type endopeptidase activity; P:regulation of transcription, DNA-templated; P:proteolysis; P:SOS response; P:negative regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED]	EQU24_RS18960||hypothetical	hypothetical protein	252	20	2.91047E-53	86.9						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18965||invasion	SirB2 family protein	363	20	2.60147E-77	86.55	1	C:GO:0016021	C:integral component of membrane			IPR007360 (PFAM); IPR007360 (PIRSF); IPR007360 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18970||EAL	EAL domain-containing protein	2556	20	0.0	75.11	1	P:GO:0000160	P:phosphorelay signal transduction system			IPR001610 (SMART); IPR001633 (SMART); IPR000160 (SMART); IPR001789 (SMART); IPR000014 (SMART); IPR000014 (PFAM); IPR001789 (PFAM); IPR000160 (TIGRFAM); IPR001633 (PFAM); IPR000160 (PFAM); IPR035919 (G3DSA:3.20.20.GENE3D); G3DSA:3.40.50.12740 (GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000014 (TIGRFAM); G3DSA:3.30.450.20 (GENE3D); PTHR46663 (PANTHER); PTHR46663:SF1 (PANTHER); IPR001633 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR000014 (CDD); IPR001789 (CDD); IPR000160 (CDD); IPR001633 (CDD); IPR035965 (SUPERFAMILY); IPR029787 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR035919 (SUPERFAMILY)	P:GO:0000160	P:phosphorelay signal transduction system
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18975||response	response regulator	2814	20	0.0	69.26	8	F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0005694; P:GO:0006334; C:GO:0016021; P:GO:0018106; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:chromosome; P:nucleosome assembly; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase	IPR004358 (PRINTS); IPR003594 (SMART); IPR008207 (SMART); IPR001789 (SMART); IPR003661 (SMART); IPR003660 (SMART); IPR003661 (PFAM); IPR036890 (G3DSA:3.30.565.GENE3D); G3DSA:3.40.50.2300 (GENE3D); G3DSA:3.40.50.12330 (GENE3D); IPR008207 (PFAM); IPR003594 (PFAM); IPR036641 (G3DSA:1.20.120.GENE3D); G3DSA:1.20.1480.50 (GENE3D); IPR003660 (PFAM); G3DSA:1.10.287.130 (GENE3D); IPR001789 (PFAM); PTHR45339 (PANTHER); IPR001789 (PROSITE_PROFILES); IPR003660 (PROSITE_PROFILES); IPR008207 (PROSITE_PROFILES); IPR005467 (PROSITE_PROFILES); IPR003660 (CDD); IPR003661 (CDD); IPR008207 (CDD); IPR001789 (CDD); cd16922 (CDD); IPR011006 (SUPERFAMILY); IPR036097 (SUPERFAMILY); IPR036641 (SUPERFAMILY); SSF158472 (SUPERFAMILY); IPR036890 (SUPERFAMILY)	F:GO:0000155; P:GO:0000160; P:GO:0007165; C:GO:0016021; P:GO:0016310; F:GO:0016772	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; P:signal transduction; C:integral component of membrane; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS18980||hypothetical	putative ABC transport system substrate-binding protein	930	20	0.0	69.53	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane			G3DSA:3.40.50.2300 (GENE3D); IPR007487 (PFAM); G3DSA:3.40.50.2300 (GENE3D); IPR007487 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18985||TonB-dependent	TonB-dependent receptor	1911	20	0.0	73.67	2	C:GO:0009279; C:GO:0016021	C:cell outer membrane; C:integral component of membrane			IPR036942 (G3DSA:2.40.170.GENE3D); IPR037066 (G3DSA:2.170.130.GENE3D); IPR012910 (PFAM); IPR000531 (PFAM); IPR039426 (PANTHER); cd01347 (CDD); SSF56935 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18990||hypothetical	TonB-dependent receptor	273	5	4.52417E-48	93.37	2	C:GO:0009279; C:GO:0016021	C:cell outer membrane; C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS18995||inositol	inositol monophosphatase	765	20	8.99697E-179	91.36	6	F:GO:0008934; P:GO:0046854; P:GO:0046855; F:GO:0046872; F:GO:0052832; F:GO:0052833	F:inositol monophosphate 1-phosphatase activity; P:phosphatidylinositol phosphorylation; P:inositol phosphate dephosphorylation; F:metal ion binding; F:inositol monophosphate 3-phosphatase activity; F:inositol monophosphate 4-phosphatase activity	EC:3.1.3.25	Inositol-phosphate phosphatase	IPR022337 (PRINTS); IPR000760 (PRINTS); IPR000760 (PFAM); G3DSA:3.40.190.80 (GENE3D); G3DSA:3.30.540.10 (GENE3D); PTHR20854 (PANTHER); PTHR20854:SF42 (PANTHER); IPR033942 (CDD); SSF56655 (SUPERFAMILY)	F:GO:0008934; P:GO:0046855	F:inositol monophosphate 1-phosphatase activity; P:inositol phosphate dephosphorylation
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19000||alkaline	alkaline phosphatase	1617	20	0.0	85.07	2	P:GO:0016311; F:GO:0016791	P:dephosphorylation; F:phosphatase activity			IPR001952 (PRINTS); IPR001952 (SMART); IPR042085 (G3DSA:1.10.1200.GENE3D); IPR001952 (PFAM); IPR017850 (G3DSA:3.40.720.GENE3D); IPR001952 (PANTHER); PTHR11596:SF5 (PANTHER); PS51257 (PROSITE_PROFILES); IPR001952 (CDD); IPR017850 (SUPERFAMILY)	F:GO:0003824; F:GO:0016791	F:catalytic activity; F:phosphatase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19005||HDOD	HDOD domain-containing protein	2130	20	0.0	77.78	4	F:GO:0004673; F:GO:0005524; P:GO:0007165; P:GO:0018106	F:protein histidine kinase activity; F:ATP binding; P:signal transduction; P:peptidyl-histidine phosphorylation	EC:2.7.13.3	Histidine kinase	IPR004358 (PRINTS); IPR003594 (SMART); IPR003594 (PFAM); IPR013976 (PFAM); G3DSA:1.10.287.130 (GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); G3DSA:1.10.3210.10 (GENE3D); PTHR33525 (PANTHER); IPR005467 (PROSITE_PROFILES); IPR013976 (PROSITE_PROFILES); cd00075 (CDD); IPR003607 (CDD); SSF55781 (SUPERFAMILY); SSF109604 (SUPERFAMILY); IPR036890 (SUPERFAMILY)	P:GO:0016310; F:GO:0016772	P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19010||EAL	EAL domain-containing protein	2484	20	0.0	79.93	2	P:GO:0000160; P:GO:0006355	P:phosphorelay signal transduction system; P:regulation of transcription, DNA-templated			IPR000014 (SMART); IPR001633 (SMART); IPR001789 (SMART); IPR001610 (SMART); IPR000160 (SMART); IPR001789 (PFAM); G3DSA:3.40.50.2300 (GENE3D); IPR000160 (PFAM); IPR035919 (G3DSA:3.20.20.GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR000014 (TIGRFAM); G3DSA:3.30.450.20 (GENE3D); IPR000014 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR001633 (PFAM); IPR000160 (TIGRFAM); PTHR33121 (PANTHER); PTHR33121:SF23 (PANTHER); IPR000014 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR001633 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR001789 (CDD); IPR000160 (CDD); IPR000014 (CDD); IPR001633 (CDD); IPR000014 (CDD); IPR035965 (SUPERFAMILY); IPR029787 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR035919 (SUPERFAMILY); IPR035965 (SUPERFAMILY)	P:GO:0000160	P:phosphorelay signal transduction system
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19015||hypothetical	DUF47 family protein	219	18	6.22309E-15	67.52	2	C:GO:0016021; F:GO:0016740	C:integral component of membrane; F:transferase activity			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19020||toxin	toxin	2163	20	0.0	85.49	3	F:GO:0005524; F:GO:0016301; P:GO:0016310	F:ATP binding; F:kinase activity; P:phosphorylation			IPR010488 (PFAM); IPR036597 (G3DSA:1.10.3290.GENE3D); G3DSA:3.40.50.300 (GENE3D)	F:GO:0005524; F:GO:0016301	F:ATP binding; F:kinase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19025||IS3	IS3 family transposase	1448	20	1.89031E-176	78.6	3	F:GO:0003676; P:GO:0015074; P:GO:0032196	F:nucleic acid binding; P:DNA integration; P:transposition			IPR036397 (G3DSA:3.30.420.GENE3D); IPR001584 (PFAM); IPR038965 (PANTHER); PTHR42648:SF9 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR012337 (SUPERFAMILY)	F:GO:0003676; P:GO:0015074; P:GO:0032196	F:nucleic acid binding; P:DNA integration; P:transposition
true	[INTERPRO, BLASTED, MAPPED]	EQU24_RS19030||hypothetical	membrane protein	897	19	3.76363E-164	67.57	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane			mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19035||response	response regulator transcription factor	645	20	1.70771E-150	85.29	3	P:GO:0000160; F:GO:0003677; P:GO:0006355	P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated			IPR000792 (PRINTS); IPR000792 (SMART); IPR001789 (SMART); G3DSA:3.40.50.2300 (GENE3D); IPR000792 (PFAM); IPR001789 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR44688 (PANTHER); PTHR44688:SF16 (PANTHER); IPR001789 (PROSITE_PROFILES); IPR000792 (PROSITE_PROFILES); IPR000792 (CDD); IPR001789 (CDD); IPR011006 (SUPERFAMILY); IPR016032 (SUPERFAMILY)	P:GO:0000160; F:GO:0003677; P:GO:0006355	P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19040||PAS	PAS domain S-box protein	3438	20	0.0	76.12	8	F:GO:0000155; P:GO:0000160; F:GO:0005515; F:GO:0005524; P:GO:0006355; C:GO:0016021; P:GO:0018106; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:protein binding; F:ATP binding; P:regulation of transcription, DNA-templated; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase	IPR004358 (PRINTS); IPR003594 (SMART); IPR000014 (SMART); IPR001610 (SMART); IPR003661 (PFAM); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.20 (GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR003594 (PFAM); G3DSA:3.30.450.20 (GENE3D); IPR000014 (PFAM); IPR013656 (PFAM); G3DSA:3.30.450.20 (GENE3D); G3DSA:1.10.287.130 (GENE3D); IPR013767 (PFAM); IPR000014 (TIGRFAM); IPR036890 (G3DSA:3.30.565.GENE3D); G3DSA:2.10.70.100 (GENE3D); IPR013655 (PFAM); PTHR43304 (PANTHER); IPR005467 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); cd16920 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR003661 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR036097 (SUPERFAMILY)	F:GO:0000155; F:GO:0005515; P:GO:0006355; P:GO:0007165; P:GO:0016310; F:GO:0016772	F:phosphorelay sensor kinase activity; F:protein binding; P:regulation of transcription, DNA-templated; P:signal transduction; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19045||IS3	IS3 family transposase	1200	20	0.0	82.15	3	P:GO:0015074; P:GO:0032196; F:GO:0043565	P:DNA integration; P:transposition; F:sequence-specific DNA binding			IPR001584 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D); IPR025948 (PFAM); PTHR46889 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR010921 (SUPERFAMILY); IPR012337 (SUPERFAMILY)	F:GO:0003676; P:GO:0015074; F:GO:0043565	F:nucleic acid binding; P:DNA integration; F:sequence-specific DNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19050||EAL	EAL domain-containing protein	2205	20	0.0	74.43	1	P:GO:0006355	P:regulation of transcription, DNA-templated			IPR000160 (SMART); IPR000014 (SMART); IPR001610 (SMART); IPR001633 (SMART); IPR000160 (TIGRFAM); G3DSA:3.30.450.20 (GENE3D); IPR013767 (PFAM); IPR001633 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR035919 (G3DSA:3.20.20.GENE3D); IPR000014 (PFAM); IPR000160 (PFAM); IPR000014 (TIGRFAM); G3DSA:3.30.450.20 (GENE3D); PTHR44757:SF2 (PANTHER); PTHR44757 (PANTHER); IPR001633 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR000014 (CDD); IPR000014 (CDD); IPR000160 (CDD); IPR001633 (CDD); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035919 (SUPERFAMILY); IPR029787 (SUPERFAMILY)	P:GO:0006355	P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED]	EQU24_RS19055||hypothetical	hypothetical protein	681	20	2.19886E-167	80.66						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19060||flavin	flavin reductase	483	20	4.13204E-117	84.5	1	F:GO:0010181	F:FMN binding			IPR002563 (SMART); IPR012349 (G3DSA:2.30.110.GENE3D); IPR002563 (PFAM); PTHR30466 (PANTHER); PTHR30466:SF11 (PANTHER); SSF50475 (SUPERFAMILY)	F:GO:0010181; F:GO:0048037	F:FMN binding; F:cofactor binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19065|nadC|carboxylating	carboxylating nicotinate-nucleotide diphosphorylase	831	20	0.0	87.76	2	F:GO:0004514; P:GO:0009435	F:nicotinate-nucleotide diphosphorylase (carboxylating) activity; P:NAD biosynthetic process	EC:2.4.2.19	Nicotinate-nucleotide diphosphorylase (carboxylating)	IPR037128 (G3DSA:3.90.1170.GENE3D); IPR027277 (PIRSF); IPR022412 (PFAM); IPR002638 (PFAM); IPR013785 (G3DSA:3.20.20.GENE3D); IPR004393 (TIGRFAM); IPR027277 (PANTHER); IPR004393 (CDD); IPR036068 (SUPERFAMILY); SSF54675 (SUPERFAMILY)	F:GO:0003824; F:GO:0004514; P:GO:0009435; F:GO:0016763	F:catalytic activity; F:nicotinate-nucleotide diphosphorylase (carboxylating) activity; P:NAD biosynthetic process; F:transferase activity, transferring pentosyl groups
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19070|ampD|1_6-anhydro-N-acetylmuramyl-L-alanine	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	603	20	3.39209E-147	83.25	2	F:GO:0008745; P:GO:0009253	F:N-acetylmuramoyl-L-alanine amidase activity; P:peptidoglycan catabolic process	EC:3.5.1.28	N-acetylmuramoyl-L-alanine amidase	IPR002502 (SMART); IPR036505 (G3DSA:3.40.80.GENE3D); IPR002502 (PFAM); PTHR30417:SF4 (PANTHER); PTHR30417 (PANTHER); IPR002502 (CDD); IPR036505 (SUPERFAMILY)	F:GO:0008745; P:GO:0009253	F:N-acetylmuramoyl-L-alanine amidase activity; P:peptidoglycan catabolic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19075||hypothetical	PhnD/SsuA/transferrin family substrate-binding protein	288	20	1.46709E-64	87.54	6	F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0018106; P:GO:0023014	F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation	EC:2.7.13.3	Histidine kinase	no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS19080||lipoprotein	signal peptidase II	474	20	4.72328E-93	91.91	4	F:GO:0004190; C:GO:0005886; P:GO:0006508; C:GO:0016021	F:aspartic-type endopeptidase activity; C:plasma membrane; P:proteolysis; C:integral component of membrane	EC:3.4.23	Acting on peptide bonds (peptidases)	IPR001872 (PRINTS); IPR001872 (TIGRFAM); IPR001872 (PFAM); IPR001872 (PANTHER); IPR001872 (HAMAP)	F:GO:0004190; P:GO:0006508; C:GO:0016020	F:aspartic-type endopeptidase activity; P:proteolysis; C:membrane
